Name,Hashtag used,IMBD Score,Mean,
God's not dead,#GodsNotDead2,3.1,-0.182,
Fifty shades of black,#fiftyshadesofblack,3.3,-1.167,
Norm of the north,#normofthenorth,3.7,1.049,
The Forest,#theforest,4.8,0.241,
Allegiant,#Allegiant,5.1,-0.255,
Criminal,#CriminalMovie,6.5,0.815,
Hardcore Henry,#HardcoreHenry,7,0.381,
Batman V Superman,#BatmanVsSuperman,7.2,0.321,
Kung Fu Panda 3,#KungFuPanda3,7.4,0.510,
Frozen,#frozen,7.6,0.941,
Demolition,#Demolitionmovie,7.6,1.000,
Eye in the sky,#EyeInTheSky,7.8,0.523,`
The Jungle Book,#TheJungleBook,8.1,1.184,
Deadpool,#Deadpool,8.3,0.503,
Zootopia,#Zootopia,8.4,1.048,
